HomeTeam,AwayTeam,Date,HT_HM_1h_s,HT_HM_1h_m,HT_HM_2h_s,HT_HM_2h_m,HT_AM_1h_s,HT_AM_1h_m,HT_AM_2h_s,HT_AM_2h_m,AT_HM_1h_s,AT_HM_1h_m,AT_HM_2h_s,AT_HM_2h_m,AT_AM_1h_s,AT_AM_1h_m,AT_AM_2h_s,AT_AM_2h_m,HT_FM_1h_s,HT_FM_2h_s,AT_FM_1h_s,AT_FM_2h_s
Watford,Tottenham,2020-01-18,1,0,1,1,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0
Arsenal,Sheffield United,2020-01-18,2,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1
Brighton,Aston Villa,2020-01-18,0,1,1,0,0,1,0,0,0,4,1,2,2,0,0,1,1,0,0,1
Man City,Crystal Palace,2020-01-18,0,0,2,1,4,0,2,1,0,1,1,0,0,1,1,0,0,2,1,1
Norwich,Bournemouth,2020-01-18,1,0,0,1,0,1,0,3,0,1,0,2,0,3,0,1,1,0,0,0
Southampton,Wolves,2020-01-18,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,2,0,0,3
West Ham,Everton,2020-01-18,3,0,1,0,0,0,0,1,1,0,0,0,0,0,1,2,1,0,1,0
Newcastle,Chelsea,2020-01-18,0,2,0,1,1,1,0,0,2,0,1,0,1,0,0,1,0,1,0,0
Burnley,Leicester,2020-01-19,0,2,1,0,0,2,0,1,1,1,0,1,2,0,1,0,0,2,1,0
Liverpool,Man United,2020-01-19,1,0,1,0,1,0,0,0,1,0,3,0,0,2,0,0,1,1,0,0
Aston Villa,Watford,2020-01-21,0,4,1,2,0,1,1,0,0,0,0,0,1,0,2,0,0,2,1,0
Bournemouth,Brighton,2020-01-21,0,1,0,2,0,1,0,0,1,0,0,1,0,1,0,0,2,1,0,1
Crystal Palace,Southampton,2020-01-21,0,1,1,0,1,0,1,2,2,0,0,3,1,1,1,0,0,0,1,1
